"fund_isin"
"IE00BV0LD441"
"IE00BD0NK766"
"IE00BV0LD334"
"GB00BGJWTR88"
"FR0012704856"
"LU0278911440"
"LU1581390140"
"US0030223996"
"LU1146625188"
"LU1344623373"
"LU1683328667"
"LU1525415201"
"LU1688575437"
"LU0907913114"
"GG00BJJPTV26"
"LU1022620857"
"EE3600108874"
"LU1250978043"
"FR0013302106"
"FR0013176401"
"LU1479561935"
"LU0958353921"
"LU1873225533"
"LU1235131007"
"IE00B7LRZY71"
"AT0000A1ULN6"
"IE00B134QL87"
"IE00BYWJJJ42"
"LU0955569065"
"FR0013229457"
"GB00BGSHGC88"
"IE00BYPZZN52"
"IE00BWZN1Z90"
"FR0011869338"
"FR0011871144"
"FR0011869395"
"LU0706269932"
"LU1014595786"
"LU1067854221"
"IE00BF0YMB17"
"IE00BD102V45"
"LU1807390924"
"US92837F4900"
"BE0946551257"
"FR0010227512"
"LU1022405614"
"FR0013275252"
"FR0013248390"
"FR0010842385"
