Investor.Name,Portfolio.Name,Scenario,Allocation,ScenarioGeography,Sector,Technology,Asset.Type,Year,Scen.Alloc.WtTechProd,Plan.Alloc.WtTechProd,Trajectory.Alignment,Trajectory.Deviation
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2024,211793.966102454,206317.445626004,0.0258577738414011,-0.0258577738414011
Investor 1,Portfolio 1,B2DS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2024,173304.043695372,194313.837197021,-0.121230832551025,0.121230832551025
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2019,168.312842025646,168.312842025646,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2019,171.610671051558,171.610671051558,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2019,206.401722363167,206.401722363167,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2019,298.527394140739,298.527394140739,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2019,26.0195345759933,26.0195345759933,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2019,95.5836055151772,95.5836055151772,0,0
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2020,159.303006967893,172.908325754616,-0.0854052854725121,0.0854052854725121
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2020,174.138260294423,187.894149971409,-0.0789940685850947,0.0789940685850947
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2020,208.350029662642,208.847257570402,0.00238650269724207,0.00238650269724207
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2020,296.86186288944,304.653308610816,0.0262460312198383,0.0262460312198383
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2020,25.1281906194141,26.0195345759933,0.0354718718143841,0.0354718718143841
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2020,115.33216304571,107.973563113653,-0.0638035369989592,-0.0638035369989592
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2021,150.20989132216,176.567447974398,-0.17547151136478,0.17547151136478
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2021,176.786009613616,187.930822602806,-0.0630412610904456,0.0630412610904456
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2021,209.631171922696,217.474189725346,0.0374134139055517,0.0374134139055517
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2021,295.027147460056,305.066951884662,0.0340301037075412,0.0340301037075412
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2021,24.1821114898582,26.0195345759933,0.0759827398408,0.0759827398408
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2021,132.296669903869,118.288762582207,-0.105882539083117,-0.105882539083117
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2022,141.137328817726,179.988382837182,-0.2752712860935,0.2752712860935
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2022,179.205528886208,188.707015781996,-0.0530200544304714,0.0530200544304714
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2022,210.882603918696,220.074390501658,0.0435872206249212,0.0435872206249212
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2022,292.793965693681,305.182345723657,0.0423109130703071,0.0423109130703071
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2022,23.2449879860917,26.0195345759933,0.119361067924051,0.119361067924051
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2022,151.110001764211,125.508155434946,-0.169425226857012,-0.169425226857012
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2023,132.362454822023,180.911804327042,-0.366790942116465,0.366790942116465
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2023,181.349391387793,192.04805406771,-0.0589947537074402,0.0589947537074402
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2023,212.345489078557,222.864321122911,0.0495364045169933,0.0495364045169933
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2023,291.234982336901,305.196674111162,0.0479396110392745,0.0479396110392745
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2023,22.080644807929,26.0195345759933,0.17838653727403,0.17838653727403
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2023,168.366329235854,129.354823992801,-0.231706098363669,-0.231706098363669
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,CoalCap,Bonds,2024,123.369378487248,181.521336235467,-0.471364600043195,0.471364600043195
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,GasCap,Bonds,2024,183.759227912582,196.981447724883,-0.0719540453151607,0.0719540453151607
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,HydroCap,Bonds,2024,213.54105466766,223.735779824399,0.0477412887774915,0.0477412887774915
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,NuclearCap,Bonds,2024,289.001800570526,306.069398594387,0.0590570646624618,0.0590570646624618
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,OilCap,Bonds,2024,21.1017122018611,26.0195345759933,0.233053238859854,0.233053238859854
Investor 1,Portfolio 1,B2DS,PortfolioWeight,GlobalAggregate,Power,RenewablesCap,Bonds,2024,186.443779354809,130.186144291125,-0.30174047779102,-0.30174047779102
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2019,486471.228761344,486471.228761344,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2019,208683.148894921,208683.148894921,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2019,197009.197127662,197009.197127662,0,0
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Coal,Coal,Bonds,2020,491685.783096789,491318.245747317,7.47504528515719e-4,-7.47504528515719e-4
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Gas,Bonds,2020,217114.679638222,217934.807510847,-0.00377739484954246,0.00377739484954246
Investor 1,Portfolio 1,CPS,PortfolioWeight,Global,Oil&Gas,Oil,Bonds,2020,202970.019418391,204076.761283603,-0.00545273567191417,0.00545273567191417
